Vermis;;;;;;Teuthus;;;;;;Argos;;;;;;Orion;;;;;;Maia;;;;;;Overall;;;;;
SQ_SIMULATION;SQ_TEST;BASELINE;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base;Sim;Test;Base
0,316349206;0,242301587;0,123234127;0,77158343;0,590979481;0,300571041;0,232440476;0,166031746;0,079325397;0,566927991;0,404955478;0,193476578;0,185714286;0,161765873;0,087936508;0,452961673;0,39455091;0,214479288;0,131865079;0,082003968;0,135496032;0,321622145;0,200009679;0,330478126;0,163988095;0,118134921;0,03015873;0,399970964;0,288133953;0,073557878;0,206071429;0,154047619;0,091230159;0,502613241;0,3757259;0,222512582
0,261765873;0,233789683;0,097261905;0,638453349;0,570218738;0,237224158;0,256349206;0,178690476;0,088948413;0,625241967;0,43583043;0,216947348;0,127400794;0,12734127;0,077162698;0,310733644;0,310588463;0,188201702;0,154821429;0,146468254;0,138373016;0,37761324;0,357239644;0,337495161;0,140198413;0,084960317;0,035654762;0,341947348;0,207220286;0,086962834;0,188107143;0,15425;0,087480159;0,45879791;0,376219512;0,213366241
0,295753968;0,165238095;0,103194444;0,721351142;0,403019744;0,251693767;0,248611111;0,153809524;0,100019841;0,606368564;0,37514518;0,243950832;0,219543651;0,171825397;0,087281746;0,53547232;0,419086334;0,212882307;0,189821429;0,104821429;0,13234127;0,462979094;0,255662021;0,322783585;0,103789683;0,167519841;0,027559524;0,253145567;0,408584979;0,067218351;0,211503968;0,152642857;0,090079365;0,515863337;0,372299652;0,219705768
0,283154762;0,214742063;0,125337302;0,69062137;0,52376113;0,305700736;0,231230159;0,172738095;0,076190476;0,563975997;0,421312427;0,18583043;0,156071429;0,147539683;0,082579365;0,380662022;0,359852885;0,201413085;0,175456349;0,116011905;0,137003968;0,427942315;0,282955865;0,33415602;0,21297619;0,103968254;0,045654762;0,519454123;0,253581107;0,111353078;0,211777778;0,151;0,093353175;0,516531166;0,368292683;0,22769067
0,264821429;0,099603175;0,109583333;0,645905923;0,242934572;0,267276423;0,214722222;0,201190476;0,085376984;0,523712737;0,490708479;0,208236547;0,215376984;0,145;0,091924603;0,525309717;0,353658537;0,224206349;0,157956349;0,111706349;0,138253968;0,385259388;0,27245451;0,337204801;0,173472222;0,085734127;0,027142857;0,423102981;0,209107627;0,066202091;0,205269841;0,128646825;0,090456349;0,500658149;0,313772745;0,220625242
0,259325397;0,096071429;0,116011905;0,632500968;0,234320557;0,282955865;0,235892857;0,236011905;0,085496032;0,575348432;0,575638792;0,208526907;0,184047619;0,160138889;0,093134921;0,448896632;0,390582656;0,227158344;0,150119048;0,129166667;0,130615079;0,366144019;0,31504065;0,318573364;0,200734127;0,091765873;0,037519841;0,489595432;0,223819202;0,091511808;0,20602381;0,142630952;0,092555556;0,502497096;0,347880372;0,225745258
0,236686508;0,168928571;0,101230159;0,577284166;0,412020906;0,246902826;0,23406746;0,175873016;0,071329365;0,570896245;0,428958575;0,173974061;0,179047619;0,118412698;0,083809524;0,43670151;0,288811459;0,204413473;0,198333333;0,112261905;0,137480159;0,483739837;0,273809524;0,33531746;0,2075;0,144027778;0,050376984;0,506097561;0,351287263;0,122870693;0,211126984;0,143900794;0,088845238;0,514943864;0,350977545;0,216695703
0,334821429;0,196884921;0,118134921;0,816637631;0,480207123;0,288133953;0,227480159;0,202757937;0,088551587;0,554829655;0,494531552;0,215979481;0,208293651;0,17156746;0,083035714;0,508033295;0,41845722;0,202526132;0,184801587;0,047321429;0,133650794;0,450735579;0,115418118;0,325977545;0,20609127;0,194861111;0,038611111;0,502661634;0,475271003;0,094173442;0,232297619;0,162678571;0,092396825;0,566579559;0,396777003;0,225358111
0,32577381;0,211686508;0,104107143;0,794570267;0,516308556;0,253919861;0,251230159;0,220277778;0,089781746;0,612756485;0,537262873;0,218979868;0,204722222;0,111071429;0,083452381;0,499322493;0,270905924;0,203542393;0,178551587;0,103511905;0,14234127;0,435491676;0,25246806;0,347173829;0,111031746;0,111765873;0,047281746;0,270809137;0,27259969;0,115321332;0,214261905;0,151662698;0,093392857;0,522590012;0,369909021;0,227787456
0,214384921;0,146011905;0,085376984;0,52289005;0,356126597;0,208236547;0,239861111;0,219503968;0,077063492;0,5850271;0,535375532;0,187959737;0,181865079;0,144861111;0,077440476;0,443573363;0,353319783;0,18887921;0,230059524;0,097261905;0,139742063;0,56112079;0,237224158;0,340834301;0,152599206;0,090436508;0,027857143;0,372193186;0,220576849;0,067944251;0,203753968;0,139615079;0,081496032;0,496960898;0,340524584;0,198770809
0,231111111;0,13547619;0,11702381;0,563685637;0,330429733;0,285423926;0,312420635;0,227281746;0,083968254;0,762001549;0,554345722;0,204800619;0,113531746;0,143511905;0,085714286;0,276906698;0,350029037;0,209059234;0,167380952;0,110694444;0,13577381;0,408246225;0,26998645;0,331155633;0,16734127;0,101448413;0,028373016;0,408149439;0,247435153;0,069202478;0,198357143;0,14368254;0,090170635;0,483797909;0,350445219;0,219928378
0,301289683;0,181111111;0,121865079;0,734852884;0,441734417;0,297231901;0,235376984;0,192043651;0,080218254;0,574090205;0,468399148;0,195654278;0,159027778;0,104623016;0,088968254;0,387872629;0,255178088;0,216995741;0,212103175;0,144206349;0,13672619;0,517324816;0,351722803;0,333478513;0,117876984;0,166388889;0,026031746;0,287504839;0,405826558;0,063492063;0,205134921;0,157674603;0,090761905;0,500329075;0,384572203;0,221370499
0,295992063;0,188988095;0,082539683;0,721931862;0,460946574;0,201316299;0,283214286;0,174404762;0,075892857;0,690766551;0,425377468;0,18510453;0,155793651;0,150039683;0,073888889;0,379984515;0,365950446;0,180216802;0,179940476;0,140376984;0,132757937;0,43887921;0,342382888;0,323799845;0,222440476;0,056765873;0,029365079;0,542537747;0,138453349;0,071622145;0,227476191;0,142115079;0,078888889;0,554819977;0,346622145;0,192411924
0,274186508;0,24984127;0,082321429;0,66874758;0,609368951;0,200783972;0,337202381;0,23906746;0,079662698;0,822444832;0,583091367;0,194299264;0,219146825;0,06984127;0,082301587;0,534504451;0,170344561;0,200735578;0,25327381;0,151230159;0,127599206;0,617740999;0,368854046;0,311217576;0,253769841;0,122956349;0,042777778;0,618950832;0,299893535;0,104336043;0,267515873;0,166587302;0,08293254;0,652477739;0,406310492;0,202274487
0,316785714;0,201706349;0,112876984;0,772648084;0,491966705;0,275309717;0,259623016;0,237162698;0,072996032;0,633226868;0,578445606;0,178039102;0,180337302;0,162599206;0,068888889;0,439847078;0,396583429;0,16802168;0,224821429;0,131964286;0,132876984;0,548344948;0,321864111;0,324090205;0,18422619;0,136825397;0,037777778;0,449332172;0,33372048;0,092140921;0,23315873;0,174051587;0,085083333;0,56867983;0,424516066;0,207520325
0,378571429;0,229384921;0,089503968;0,923344948;0,559475416;0,218302362;0,251785714;0,14047619;0,077063492;0,614111498;0,342624855;0,187959737;0,19968254;0,126884921;0,0875;0,487030585;0,309475417;0,213414634;0,163769841;0,106071429;0,135198413;0,399438637;0,258710801;0,329752226;0,163611111;0,143412698;0,028055556;0,399051491;0,349787069;0,068428184;0,231484127;0,149246032;0,083464286;0,564595432;0,364014712;0,203571429
0,252797619;0,175813492;0,122043651;0,616579559;0,428813395;0,297667441;0,24281746;0,135654762;0,073710317;0,592237708;0,330865273;0,179781262;0,199384921;0,125615079;0,077440476;0,486304685;0,306378241;0,18887921;0,186626984;0,204821429;0,136884921;0,455187766;0,49956446;0,33386566;0,181746032;0,12077381;0,029702381;0,443283004;0,294570267;0,072444832;0,212674603;0,152535714;0,087956349;0,518718545;0,372038327;0,214527681
0,239047619;0,237579365;0,094365079;0,583042973;0,579461866;0,23015873;0,221944444;0,188452381;0,07547619;0,541327913;0,459639954;0,184088269;0,096527778;0,190734127;0,093253968;0,235433605;0,465205188;0,227448702;0,255119048;0,147579365;0,131230159;0,62224158;0,359949671;0,320073558;0,144702381;0,075436508;0,037996032;0,352932636;0,183991483;0,092673248;0,191468254;0,167956349;0,086464286;0,466995741;0,409649632;0,210888502
0,310396825;0,256924603;0,090099206;0,757065428;0,626645374;0,219754162;0,29984127;0,162738095;0,078511905;0,73132017;0,396922184;0,191492451;0,16125;0,12906746;0,079444444;0,393292683;0,314798683;0,193766937;0,198531746;0,147063492;0,135079365;0,484223771;0,358691444;0,329461866;0,156190476;0,111825397;0,02656746;0,380952381;0,27274487;0,064798684;0,225242063;0,161523809;0,081940476;0,549370887;0,393960511;0,19985482
0,297837302;0,193690476;0,094583333;0,726432443;0,472415796;0,230691057;0,293630952;0,218134921;0,07640873;0,716173055;0,532036392;0,186362756;0,2425;0,136111111;0,072857143;0,591463415;0,33197832;0,177700349;0,207460317;0,135654762;0,136865079;0,506000774;0,330865273;0,333817267;0,25093254;0,233630952;0,03875;0,612030585;0,569831591;0,094512195;0,258472222;0,183444444;0,083892857;0,630420054;0,447425474;0,204616725
0,263134921;0,180992063;0,085833333;0,641792489;0,441444057;0,209349593;0,244107143;0,155753968;0,068154762;0,595383275;0,379887727;0,166231127;0,174146825;0,200198413;0,085833333;0,424748354;0,488288812;0,209349593;0,21781746;0,128869048;0,135694444;0,531262098;0,31431475;0,33096206;0,210892857;0,080099206;0,027619048;0,514372822;0,195363918;0,067363531;0,222019841;0,14918254;0,080626984;0,541511808;0,363859853;0,196651181
0,268095238;0,076369048;0,105793651;0,653890825;0,18626597;0,258033295;0,255515873;0,13015873;0,075833333;0,623209446;0,317460317;0,18495935;0,20265873;0,120337302;0,081666667;0,494289585;0,293505615;0,199186993;0,202420635;0,15265873;0,135694444;0,493708866;0,372338366;0,33096206;0,172797619;0,151845238;0,036924603;0,421457607;0,370354239;0,090060008;0,220297619;0,12627381;0,08718254;0,537311266;0,307984901;0,212640341
0,197936508;0,209821429;0,120059524;0,482771971;0,511759582;0,292828107;0,224563492;0,163710317;0,094543651;0,547715834;0,399293457;0,23059427;0,11640873;0,093472222;0,082916667;0,283923732;0,227981029;0,202235773;0,195892857;0,14656746;0,13468254;0,477787456;0,357481611;0,328493999;0,11843254;0,113948413;0,032579365;0,288859853;0,277922958;0,079461866;0,170646825;0,145503968;0,092956349;0,416211769;0,354887727;0,226722803
